date,title,event_or_location,type,description,source_url
2008-06-14,Imagination: Key to the Higher Mind,,live session,"Bashar channeling session titled 'Imagination: Key to the Higher Mind', dated 2008-06-14. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-imagination-key-to-the-higher-mind-2008-06-14
2008-06-15,Bashar's Lab,,live session,"Bashar channeling session titled 'Bashar's Lab', dated 2008-06-15. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-bashars-lab-2008-06-15
2008-10-11,Download,,live session,"Bashar channeling session titled 'Download', dated 2008-10-11. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-download-2008-10-11
2008-10-12,Take Action,,live session,"Bashar channeling session titled 'Take Action', dated 2008-10-12. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-take-action-2008-10-12
2008-11-08,A Little Tale Of Future Earth,,live session,"Bashar channeling session titled 'A Little Tale Of Future Earth', dated 2008-11-08. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-a-little-tale-of-future-earth-2008-11-08
2008-11-08,Above Sedona,"Sedona, Arizona",live session,"Bashar channeling session titled 'Above Sedona', dated 2008-11-08. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-above-sedona-2008-11-08
2009-03-19,Graph of Growth and the Unicorn,,live session,"Bashar channeling session titled 'Graph of Growth and the Unicorn', dated 2009-03-19. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-graph-of-growth-and-the-unicorn-2009-03-19
2009-06-20,Debunking the Debunkers,,live session,"Bashar channeling session titled 'Debunking the Debunkers', dated 2009-06-20. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-debunking-the-debunkers-2009-06-20
2009-06-21,The Span,,live session,"Bashar channeling session titled 'The Span', dated 2009-06-21. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-the-span-2009-06-21
2009-08-29,A Ship To Ship Communication,,live session,"Bashar channeling session titled 'A Ship To Ship Communication', dated 2009-08-29. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-a-ship-to-ship-communication-2009-08-29
2009-08-29,Fifteen Minutes in Hyperspace,,live session,"Bashar channeling session titled 'Fifteen Minutes in Hyperspace', dated 2009-08-29. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-fifteen-minutes-in-hyperspace-2009-08-29
2009-09-19,Past and Future History,,live session,"Bashar channeling session titled 'Past and Future History', dated 2009-09-19. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-past-and-future-history-2009-09-19_202406
2009-09-19,The Timeless Now,,live session,"Bashar channeling session titled 'The Timeless Now', dated 2009-09-19. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-the-timeless-now-2009-09-19_202406
2009-11-14,15 Minutes And Counting,,live session,"Bashar channeling session titled '15 Minutes And Counting', dated 2009-11-14. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-15-minutes-and-counting-2009-11-14_20240602
2009-11-15,Brick Walls Beliefs,,live session,"Bashar channeling session titled 'Brick Walls Beliefs', dated 2009-11-15. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-brick-walls-beliefs-2009-11-15
2010-03-20,Bashar at Alien Event,Alien Event,conference,"Topics tagged on BasharTV: excitement, realities, enlightenment, fear, channeling. Recording date 2010-03-20 per fan-archived copy on archive.org (identifier bashar-alien-event-2010-03-20).",https://tv.bashar.org/programs/alien-event
2010-05-31,Channeling for Change,,live session,"Topics tagged on BasharTV: highest joy, negative to positive, beliefs, pyramids, crystal skull, pre-destiny, telempathy. Recording date 2010-05-31 per fan-archived copy on archive.org (identifier bashar-channeling-for-change-2010-05-31).",https://tv.bashar.org/programs/channeling-for-change
2010-06-19,Shifting Through Infinity,,live session,"Topics tagged on BasharTV: new perspective, multiple realities, evolution, vortex, pyramids. Recording date 2010-06-19 per fan-archived copy on archive.org (identifier bashar-shifting-through-infinity-2010-06-19).",https://tv.bashar.org/programs/shifting-through-infinity
2010-06-20,Sacred Circuitry: Wholeness of Being,,live session,"Bashar channeling session titled 'Sacred Circuitry: Wholeness of Being', dated 2010-06-20. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-sacred-circuitry-wholeness-of-being-2010-06-20
2010-08-14,Slip Stream: Crystal Portals,,live session,"Bashar channeling session titled 'Slip Stream: Crystal Portals', dated 2010-08-14. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-slip-stream-crystal-portals-2010-08-14
2010-08-28,Simultaneity Of Existence & Connecting To The Oversoul,,live session,"Topics tagged on BasharTV: linear timeline, quantum physics, reincarnation, multidimensional nature, oversoul, connection, war. Recording date 2010-08-28 per fan-archived copy on archive.org (identifier bashar-simultaneity-of-existence-connecting-to-the-oversoul-2010-08-28).",https://tv.bashar.org/programs/simultaneity
2010-09-11,Dialogues with the Future Self,,live session,"Topics tagged on BasharTV: future self, communication, guidance, ideal self, angels, meditation, security. Recording date 2010-09-11 per fan-archived copy on archive.org (identifier bashar-dialogues-with-future-self-2010-09-11).",https://tv.bashar.org/programs/dialogues-with-the-future-self
2010-11-20,Vortex Vibrations,,live session,"Topics tagged on BasharTV: vortex, balance, energetic relationship, love, connection, hybrid children, fear of success. Recording date 2010-11-20 per fan-archived copy on archive.org (identifier bashar-vortex-vibrations-2010-11-20).",https://tv.bashar.org/programs/vortex-vibrations
2010-11-21,All Aboard the 2012 Train,,live session,"Bashar channeling session titled 'All Aboard the 2012 Train', dated 2010-11-21. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-all-aboard-the-2012-train-2010-11-21
2010-11-21,The Physics of Intention,,live session,"Topics tagged on BasharTV: manifestation, desire, intention, vision, negative energy, channeling, Buddha, sacred circuits. Recording date 2010-11-21 per fan-archived copy on archive.org (identifier bashar-physics-of-intention-2010-11-21).",https://tv.bashar.org/programs/the-physics-of-intention
2011-02-12,Master Tools of Manifestation,,live session,"Topics tagged on BasharTV: creating positive energy, tools, dreams, shifting realities, themes, vibrations, Oversoul. Recording date 2011-02-12 per fan-archived copy on archive.org (identifier bashar-master-tools-of-manifestation-2011-02-12).",https://tv.bashar.org/programs/master-tools-of-manifestation
2011-04-16,Flipping the Switch,Japan,live session,"Topics tagged on BasharTV: manifesting, healing, healthy, Japan, co-create. Recording date 2011-04-16 per fan-archived copy on archive.org (identifier bashar-flipping-the-switch-2011-04-16).",https://tv.bashar.org/programs/flipping-the-switch
2011-06-17,A Message for Japan,Japan,live session,"Topics tagged on BasharTV: future, positive energy, Japan, vibration, bad karma, radiation. Recording date 2011-06-17 per fan-archived copy on archive.org (identifier bashar-a-message-for-japan-2011-06-17).",https://tv.bashar.org/programs/a-message-for-japan
2011-06-18,Hall Of Mirrors,,live session,"Topics tagged on BasharTV: change personality, ego structure, Council of Nine, idea process. Recording date 2011-06-18 per fan-archived copy on archive.org (identifier bashar-hall-of-mirrors-2011-06-18).",https://tv.bashar.org/programs/hall-of-mirrors
2011-06-19,An Essassani Story,,live session,"Bashar channeling session titled 'An Essassani Story', dated 2011-06-19. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-an-essassani-story-2011-06-19
2011-08-27,Writing Your Life Story,,live session,"Topics tagged on BasharTV: crystallize in physical, writing exercise, storm, sorcerers, chakras, hybrid children, story-telling, parallel reality. Recording date 2011-08-27 per fan-archived copy on archive.org (identifier bashar-writing-your-life-story-2011-08-27).",https://tv.bashar.org/programs/writing-your-life-story
2011-08-28,"The ""I"" of the Storm",,live session,"Topics tagged on BasharTV: Hurricane Irene, navigate fear, transformation, shift reality, vortex, chakra points. Recording date 2011-08-28 per fan-archived copy on archive.org (identifier bashar-i-of-the-storm-2011-08-28).",https://tv.bashar.org/programs/the-i-of-the-storm
2011-11-05,The 9 Levels Of Consciousness,,live session,"Topics tagged on BasharTV: levels, nine, Oversoul, beliefs, emotions, negative, ego, higher mind, unity, joy. Recording date 2011-11-05 per fan-archived copy on archive.org (identifier bashar-nine-levels-of-consciousness-2011-11-05).",https://tv.bashar.org/programs/9-levels
2011-11-11,11-11-11 The Gateway to 2012,,live session,"Topics tagged on BasharTV: transition, Light Labyrinth meditation, 2012, love, healing, selective memory. Recording date 2011-11-11 per fan-archived copy on archive.org (identifier bashar-11-11-11-the-gateway-to-2012-2011-11-11).",https://tv.bashar.org/programs/11-11-11-the-gateway
2011-11-12,Diving Deeper into 9 Levels of Consciousness,,live session,"Topics tagged on BasharTV: levels of consciousness, higher mind, crystalizing, meditation. Recording date 2011-11-12 per fan-archived copy on archive.org (identifier bashar-diving-deeper-into-the-nine-levels-of-consciousness-2011-11-12).",https://tv.bashar.org/programs/diving-deeper
2011-11-13,The Law of Attraction and Repulsion,,live session,"Topics tagged on BasharTV: laws of attraction, meditation, transformation, laws of repulsion, beliefs, Contact crystal, 5 Hybrid Races, number 3, Spiritual Time. Recording date 2011-11-13 per fan-archived copy on archive.org (identifier bashar-the-laws-of-attraction-and-repulsion-2011-11-13).",https://tv.bashar.org/programs/the-law-of-attraction-and-repulsion
2012-02-11,Riding The Wave To Ascension,,live session,"Topics tagged on BasharTV: 2012, wave of energy, best life, Earth history, tools, reflects balance, meditation technique, attract positivity. Recording date 2012-02-11 per fan-archived copy on archive.org (identifier bashar-riding-the-wave-to-ascension-2012-02-11).",https://tv.bashar.org/programs/riding-the-wave-to-ascension
2012-02-12,An Afternoon with Bashar - 2012-02-12,BasharTV 'An Afternoon/Evening with Bashar' series (Japanese-language title on BasharTV: バシャールとの午後),live session,Dated session in the 'An Afternoon with Bashar' series listed on BasharTV; the program page gives only the title/date (Japanese title 'バシャールとの午後' on the 'afternoon' entries) and no synopsis. The BasharTV slug reads 'february-12-2012' although it is listed among 2021-2022 sessions; the year may be a typo on the source.,https://tv.bashar.org/programs/afternoon-february-12-2012
2012-05-26,The 4 Laws of Creation,,live session,"Topics tagged on BasharTV: healing, DMT, soulmates, procreating, manifest, introduction. Recording date 2012-05-26 per fan-archived copy on archive.org (identifier bashar-the-4-laws-of-creation-2012-05-26).",https://tv.bashar.org/programs/the-4-laws-of-creation
2012-06-02,Rising From The Ashes,,live session,"Topics tagged on BasharTV: new reality, transforming, Essassani, unconditional love, channeling, miracles, religion, dolphin. Recording date 2012-06-02 per fan-archived copy on archive.org (identifier bashar-rising-from-the-ashes-2012-06-02).",https://tv.bashar.org/programs/rising-from-the-ashes
2012-06-15,No Comparison,,live session,"Topics tagged on BasharTV: Q&A session, perception, Essassani, akashic records, crystal meditation. Recording date 2012-06-15 per fan-archived copy on archive.org (identifier bashar-no-comparison-2012-06-15).",https://tv.bashar.org/programs/no-comparison
2012-06-16,Resonance and Reflection,,live session,"Topics tagged on BasharTV: laws of attraction, repulsion, clarity, transformation, higher mind, dolphins. Recording date 2012-06-16 per fan-archived copy on archive.org (identifier bashar-resonance-and-reflection-2012-06-16).",https://tv.bashar.org/programs/resonance-and-reflection
2012-06-17,The UFO Witness Declaration,,live session,"Topics tagged on BasharTV: disclosure, contact, transformative, Essassani humor, moon, Sacred Circuits, A Course in Miracles, permission slips, hybrid races. Recording date 2012-06-17 per fan-archived copy on archive.org (identifier bashar-ufo-witness-declaration-2012-06-17).",https://tv.bashar.org/programs/ufo-witness-declaration
2012-06-30,Bashar 2.0,,live session,"Topics tagged on BasharTV: illusion, co-creations, DMT, Essassani, soul groups. Recording date 2012-06-30 per fan-archived copy on archive.org (identifier bashar-bashar-2.0-2012-06-30).",https://tv.bashar.org/programs/bashar-20
2012-11-09,Building the Bridge to Ascension,,live session,"Topics tagged on BasharTV: higher frequencies, accelerate contact, past civilizations, history of Solar System, Lemurian holiday, dreams, Hybrid Children. Recording date 2012-11-09 per fan-archived copy on archive.org (identifier bashar-building-the-bridge-to-2013-2012-11-09).",https://tv.bashar.org/programs/building-the-bridge-to-ascension
2012-11-10,Crossing The Bridge To Ascension,,live session,"Topics tagged on BasharTV: Essassani, hybrid messages, energy, reincarnating, higher self, karma. Recording date 2012-11-10 per fan-archived copy on archive.org (identifier bashar-crossing-the-bridge-to-2013-2012-11-10).",https://tv.bashar.org/programs/crossing-the-bridge-to-ascension
2012-11-11,A Message From Sirius,,live session,"Topics tagged on BasharTV: 2013, dolphin, hybrids, ancient civilizations, Sassani. Recording date 2012-11-11 per fan-archived copy on archive.org (identifier bashar-a-message-from-sirius-2012-11-11).",https://tv.bashar.org/programs/message-from-sirius
2012-11-17,This and That,,live session,"Bashar channeling session titled 'This and That', dated 2012-11-17. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-this-and-that-2012-11-17
2012-11-24,ETs and the Multiverse,,live session,"Bashar channeling session titled 'ETs and the Multiverse', dated 2012-11-24. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-ets-and-the-multiverse-2012-11-24
2012-12-01,The Nexus Point,,live session,"Topics tagged on BasharTV: Sirius, Essassani, Earth, connection, hybrid, Mayan. Recording date 2012-12-01 per fan-archived copy on archive.org (identifier bashar-the-nexus-point-2012-12-01).",https://tv.bashar.org/programs/nexus-point
2012-12-21,Tipping the Scales,,live session,"Bashar channeling session titled 'Tipping the Scales', dated 2012-12-21. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-tipping-the-scales-2012-12-21
2012-12-22,Through The Looking Glass,,live session,"Topics tagged on BasharTV: accelerated transformation, synchronicity. Recording date 2012-12-22 per fan-archived copy on archive.org (identifier bashar-through-the-looking-glass-2012-12-22).",https://tv.bashar.org/programs/through-the-looking-glass
2013-04-06,The Time Machine,,live session,Listed on BasharTV (no topic tags or synopsis exposed on the program page). Recording date 2013-04-06 per fan-archived copy on archive.org (identifier bashar-time-machine-2013-04-06).,https://tv.bashar.org/programs/lightning-bottle-2013
2013-04-13,The 33rd Parallel,,live session,"Topics tagged on BasharTV: Willa, future, parallel incarnations, chakra, Cryptics, self love. Recording date 2013-04-13 per fan-archived copy on archive.org (identifier bashar-the-33rd-parallel-2013-04-13).",https://tv.bashar.org/programs/33rd-parallel
2013-06-01,A Game Of Chess,,live session,"Topics tagged on BasharTV: levels of consciousness, physical reality expression, permission slips, law of attraction, frequency, soulmates, overcome challenges. Recording date 2013-06-01 per fan-archived copy on archive.org (identifier bashar-a-game-of-chess-2013-06-01).",https://tv.bashar.org/programs/game-of-chess
2013-06-14,"The Apprentice, The Adept & The Alchemist",,live session,"Topics tagged on BasharTV: transformation, change, ascension, health, tel-empathy. Recording date 2013-06-14 per fan-archived copy on archive.org (identifier bashar-the-apprentice-the-adept-and-the-alchemist-2013-06-14).",https://tv.bashar.org/programs/the-apprentice
2013-06-15,"Saturn's Day, The Council of Nine",,live session,"Topics tagged on BasharTV: Council of Nine, spiritual, enlightenment, Saturn, crystal spiral, hybrid races, mystery. Recording date 2013-06-15 per fan-archived copy on archive.org (identifier bashar-saturns-day-the-council-of-nine-2013-06-15).",https://tv.bashar.org/programs/saturns-day
2013-06-16,Jupiter: The Eye of the Storm & The Watchful Father,,live session,"Topics tagged on BasharTV: energy, expanding awareness, higher dimensions, AI (artificial intelligence), higher mind, moon. Recording date 2013-06-16 per fan-archived copy on archive.org (identifier bashar-jupiter-the-eye-of-the-storm-the-watchful-father-2013-06-16).",https://tv.bashar.org/programs/jupiter-the-eye-of-the-storm
2013-07-06,The 5th Law,,live session,"Topics tagged on BasharTV: law of creation, Interstellar Alliance, four laws, human evolution, true self, shifting energy, war, conflict, tension. Recording date 2013-07-06 per fan-archived copy on archive.org (identifier bashar-the-5th-law-2013-07-06).",https://tv.bashar.org/programs/the-5th-law
2013-11-08,Karma,,live session,"Topics tagged on BasharTV: karma, vibration, limiting concepts, tools, punishment, crystal skull, astrology, hybrid. Recording date 2013-11-08 per fan-archived copy on archive.org (identifier bashar-karma-2013-11-08).",https://tv.bashar.org/programs/karma
2013-11-09,Dream a Little Dream,,live session,"Topics tagged on BasharTV: mechanism, dreams, moon, hybrid children, spirits, the one. Recording date 2013-11-09 per fan-archived copy on archive.org (identifier bashar-dream-a-little-dream-2013-11-09).",https://tv.bashar.org/programs/dream-a-little-dream
2013-11-10,The Fox,,live session,"Topics tagged on BasharTV: future, Willa, agreements, parallel realities, higher mind. Recording date 2013-11-10 per fan-archived copy on archive.org (identifier bashar-the-fox-2013-11-10).",https://tv.bashar.org/programs/fox
2013-11-23,The Parallelogram,,live session,"Topics tagged on BasharTV: parallel realities, connecting, downloading, religion, oversoul, chakra, past lives, unconditional love, spiritual energy, Christianity, Jesus. Recording date 2013-11-23 per fan-archived copy on archive.org (identifier bashar-the-parallelogram-2013-11-23).",https://tv.bashar.org/programs/parallelogram
2013-12-20,The Cycles of Nine,,live session,"Topics tagged on BasharTV: number 9, end of cycles, contact, permission slip, co-creating, Atlantis, split realities. Recording date 2013-12-20 per fan-archived copy on archive.org (identifier bashar-cycles-of-nine-2013-12-20).",https://tv.bashar.org/programs/cycles-of-nine
2013-12-21,Year of Reinvention,,live session,"Topics tagged on BasharTV: alignment, energy, 2014, dreams, Willa, old soul, higher mind, permission slip, crystal. Recording date 2013-12-21 per fan-archived copy on archive.org (identifier bashar-the-year-of-reinvention-2013-12-21).",https://tv.bashar.org/programs/year-of-reinvention
2014-01-25,Cosmic Awakening,,live session,"Topics tagged on BasharTV: polarity, energy, physics, connection, All That Is, third law, star system, Threshold of Believability, fourth density. Recording date 2014-01-25 per fan-archived copy on archive.org (identifier bashar-cosmic-awakening-2014-01-25).",https://tv.bashar.org/programs/cosmic-awakening
2014-04-12,The Stone Speakers,,live session,"Bashar channeling session titled 'The Stone Speakers', dated 2014-04-12. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-the-stone-speakers-2014-04-12
2014-05-24,Bashar at Lightning in a Bottle 2014,"Lightning in a Bottle festival, California",conference,"Topics tagged on BasharTV: Q&A session, outdoor, yoga, beliefs, permission slip, manifesting, civilization. Recording date 2014-05-24 per fan-archived copy on archive.org (identifier bashar-lightning-in-a-bottle-2014-5-24).",https://tv.bashar.org/programs/lightning-in-a-bottle-2014
2014-06-20,The Awakening,,live session,"Topics tagged on BasharTV: permission slip, enhancement, dreams, transformation, healing, DNA, UFO. Recording date 2014-06-20 per fan-archived copy on archive.org (identifier bashar-the-awakening-2014-06-20).",https://tv.bashar.org/programs/awakening
2014-06-21,The Passion Principle,,live session,"Topics tagged on BasharTV: passion formula, tool, Epsilon, Epiphany and Eclipse, oversoul, channeling, fear, surrender. Recording date 2014-06-21 per fan-archived copy on archive.org (identifier bashar-passion-principle-2014-06-21).",https://tv.bashar.org/programs/the-passion-principle
2014-06-22,Living an Extraordinary Life,Japan,live session,"Topics tagged on BasharTV: true self, Japan, healing, angels, psychomanteum, release fear, oversoul. Recording date 2014-06-22 per fan-archived copy on archive.org (identifier bashar-living-an-extraordinary-life-2014-06-22).",https://tv.bashar.org/programs/living-an-extraordinary-life
2014-08-16,Using The Tools,,live session,"Topics tagged on BasharTV: critical voice, voice of reason, tools, higher vibrations, creation, abduction, higher mind, disconnected, Five Laws. Recording date 2014-08-16 per fan-archived copy on archive.org (identifier bashar-using-the-tools-2014-08-16).",https://tv.bashar.org/programs/using-the-tools
2014-09-06,The Voices in Your Head,,live session,"Topics tagged on BasharTV: channeling energies, higher vibrations, voice of reason, critical voice, All That Is, relationship, hybrids. Recording date 2014-09-06 per fan-archived copy on archive.org (identifier bashar-voices-in-your-head-2014-09-06).",https://tv.bashar.org/programs/the-voices-in-your-head
2014-09-26,Interstellar Enneagram Part 1,,live session,"Topics tagged on BasharTV: interdimensional civilizations, Orion, Anunnaki, Grey civilizations, Dispersed Essence, DNA, Old Soul. Recording date 2014-09-26 per fan-archived copy on archive.org (identifier bashar-the-interstellar-enneagram-part-1-2014-09-26).",https://tv.bashar.org/programs/interstellar-enneagram-part-1
2014-09-27,Interstellar Enneagram Part 2,,live session,"Topics tagged on BasharTV: interdimensional civilizations, future earth, hybrid races, Orion Black League, Anunnaki genetics, soul connection, hybrids, Sirius incarnation, religion. Recording date 2014-09-27 per fan-archived copy on archive.org (identifier bashar-the-interstellar-enneagram-part-2-2014-09-27).",https://tv.bashar.org/programs/interstellar-enneagram-part-2
2014-09-28,Interstellar Enneagram Part 3,,live session,"Topics tagged on BasharTV: future of earth, interdimensional civilizations, Anunnaki, Grey, Orion, Reptilian, Pleiadian, Essassani, Sirius, Arcturus, Shalinaya. Recording date 2014-09-28 per fan-archived copy on archive.org (identifier bashar-the-interstellar-enneagram-part-3-2014-09-28).",https://tv.bashar.org/programs/interstellar-enneagram-part-3
2014-11-15,Angels and Demons,,live session,"Topics tagged on BasharTV: angelic realm, demonic realm, religion, frequency, energy, past and future, ascension, spiritual connection, Malaysian. Recording date 2014-11-15 per fan-archived copy on archive.org (identifier bashar-angels-and-demons-2014-11-15).",https://tv.bashar.org/programs/angels-and-demons
2014-12-05,Are You Having A Near Life Experience,,live session,"Topics tagged on BasharTV: master tools, empowerment, fuller life, Emotion Code, The Soul Plan, faith. Recording date 2014-12-05 per fan-archived copy on archive.org (identifier bashar-are-you-having-a-near-life-experience-2014-12-05).",https://tv.bashar.org/programs/are-you-having-a-near-life-experience
2014-12-06,The Black Box,,live session,"Topics tagged on BasharTV: true self, belief systems, highest vibrations, forgiveness, A Course in Miracles, the Grays, coherence, Contact Crystal, introduction. Recording date 2014-12-06 per fan-archived copy on archive.org (identifier bashar-the-black-box-2014-12-06).",https://tv.bashar.org/programs/the-black-box
2014-12-07,2015-2016: The Years of Expansion and Contraction,,live session,"Topics tagged on BasharTV: rapid change, highest vibration, 2015 bridge 2016, permission slip, love, healing, implants, gravity. Recording date 2014-12-07 per fan-archived copy on archive.org (identifier bashar-2015-2016-expansion-and-contraction-2014-12-07).",https://tv.bashar.org/programs/years-of-expansion
2015-04-11,The Substitute Teacher,,live session,"Topics tagged on BasharTV: first contact, interactions, meditation, spirits, Essassani, hybrids. Recording date 2015-04-11 per fan-archived copy on archive.org (identifier bashar-substitute-teacher-2015-04-11).",https://tv.bashar.org/programs/substitute-teacher
2015-06-12,The Sedona Vortex Array,"Sedona, Arizona",live session,"Bashar channeling session titled 'The Sedona Vortex Array', dated 2015-06-12. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-the-sedona-vortex-array-2015-06-12
2015-06-13,Going MAD,,live session,"Topics tagged on BasharTV: beyond limitations, self expression, Earth, history, Greys, healing, hybrid, Sassani. Recording date 2015-06-13 per fan-archived copy on archive.org (identifier bashar-going-m.-a.-d.-2015-06-13).",https://tv.bashar.org/programs/going-mad
2015-06-19,Continuing Education,,live session,"Topics tagged on BasharTV: contact, training, planet, culture, crystallize concepts, physical reality, religious, vibration, telepathy, hybrids. Recording date 2015-06-19 per fan-archived copy on archive.org (identifier bashar-continuing-education-2015-06-19).",https://tv.bashar.org/programs/continuing-education
2015-06-20,Mistaken Identity,,live session,"Topics tagged on BasharTV: hybrid children, highest excitement, overcome fear, oversoul, healing, mistakes. Recording date 2015-06-20 per fan-archived copy on archive.org (identifier bashar-mistaken-identity-2015-06-20).",https://tv.bashar.org/programs/mistaken-identity
2015-06-21,The Big Picture,,live session,"Topics tagged on BasharTV: oversoul, connection, moon energy, Atlantis, elements, galactic races. Recording date 2015-06-21 per fan-archived copy on archive.org (identifier bashar-the-big-picture-2015-06-21).",https://tv.bashar.org/programs/big-picture
2015-09-12,The Sedona Vortex Array,"Sedona, Arizona",live session,"Topics tagged on BasharTV: Sedona, acceleration contact, Essassani, UFO, vibration, energetic connection, remote viewing, Template Level of Reality. Recording date 2015-09-12 per fan-archived copy on archive.org (identifier bashar-sedona-vortex-array-2015-09-12).",https://tv.bashar.org/programs/sedona-vortex-array
2015-09-25,The Mechanics of Channeling,,live session,"Topics tagged on BasharTV: Sassani, acceleration, energy unfolds, physical reality, circuit diagram, contact, implants. Recording date 2015-09-25 per fan-archived copy on archive.org (identifier bashar-the-mechanics-of-channeling-2015-09-25).",https://tv.bashar.org/programs/mechanics-of-channeling
2015-09-26,Shards of a Shattered Mirror,,live session,"Topics tagged on BasharTV: Willa, parallel realities, Holly Cotton, incarnation, energies unfold, Bashar purpose. Recording date 2015-09-26 per fan-archived copy on archive.org (identifier bashar-shards-of-a-shattered-mirror-2015-09-26).",https://tv.bashar.org/programs/shards-of-a-shattered-mirror
2015-09-27,13 Months and Counting,,live session,"Topics tagged on BasharTV: the Sassani, energy unfolds, deeper understanding, ET contact, Oversoul, Vatican, disclosure. Recording date 2015-09-27 per fan-archived copy on archive.org (identifier bashar-13-months-and-counting-2015-09-27).",https://tv.bashar.org/programs/13-months-and-counting
2015-11-07,The Formula,,live session,"Bashar channeling session titled 'The Formula', dated 2015-11-07. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-the-formula-2015-11-07
2015-11-14,Going Gamma,,live session,"Topics tagged on BasharTV: meditation, frequency, connection, higher energies, pyramids, quantum mechanics, permission slips, civilizations, oversouls. Recording date 2015-11-14 per fan-archived copy on archive.org (identifier bashar-going-gamma-2015-11-14).",https://tv.bashar.org/programs/going-gamma
2015-12-04,The Artifacts,,live session,"Topics tagged on BasharTV: hidden artifacts, solar system, human evolution, Gamma frequency, Sirius energies, soulmates. Recording date 2015-12-04 per fan-archived copy on archive.org (identifier bashar-the-artifacts-2015-12-04).",https://tv.bashar.org/programs/artifacts
2015-12-05,Allowance,,live session,"Topics tagged on BasharTV: surrender, passion, path of least resistance, AAA formula, Council of Nine, bluejays. Recording date 2015-12-05 per fan-archived copy on archive.org (identifier bashar-allowance-2015-12-05).",https://tv.bashar.org/programs/allowance
2015-12-06,A Unified Theory,,live session,"Topics tagged on BasharTV: Mars, Joshua Tree, hollow earth, clarity, number meaning, metaphysics, 6th hybrid race. Recording date 2015-12-06 per fan-archived copy on archive.org (identifier bashar-a-unified-theory-of-metaphysics-2015-12-06).",https://tv.bashar.org/programs/one-a-unified-theory
2016-03-26,Temple Days,,live session,"Topics tagged on BasharTV: temple, days, bridge, reality, multidimensional, crystal, creation, spiritual nature, flat earth. Recording date 2016-03-26 per fan-archived copy on archive.org (identifier bashar-temple-days-2016-03-26).",https://tv.bashar.org/programs/temple-days
2016-04-16,Your Indestructible Core,,live session,"Topics tagged on BasharTV: indestructible being, permission slips, feelings of uncertainty, following your excitement, dimensions, we're all connected, vortex, introduction. Recording date 2016-04-16 per fan-archived copy on archive.org (identifier bashar-your-indestructible-core-2016-04-16).",https://tv.bashar.org/programs/your-indestructible-core
